ItemNumber,ShippingReportWeight
A5430,5.46987039
A4079,0.006
21989,0.131
326999,1
15109,0.509
10822,0.063
11789,0.043
167526,0.005
A8746,3.32
A2379,1.0419
A2508,1.799854524
A8747,4.65
A3901,0.653
E1417,0.45
13303,0.018
17805,0.003
11961,0.096
19876,0.091
16396,0.014
E2060,0.833702776
E1787,3.709931994
A7347,0.1639
A7348,0.342008647
A7385,0.2882
A7430,0.219992299
E1642,1.009696616
A6025,2.497
A2944,1.04
313942,0.42
E3486,0.253
E5876,0.2932249
E5327,0.953
A2741,0.407
A2287,0.259
A2892,7.63
A5233,3.364294608
A6435,0.419572942
A2428,4.26
A3335,0.245
E2643,0.568804832
A4388,0.16465403
A3708,20.6
A5138,1.44
A2185,0.983
A1921,1.36
A3114,0.360152342
A3990,3.019564407
A3892,5.79
A1940,1.2
A5436,1.939560974
A5254,4.899704781
A1898,0.451778001
A2824,0.231332109
A8286,0.221
A8751,7.53
E1089,45
A10565,0.015
E3155,0.124
E3891,0.512105786
A2979,1.7
A3874,3.068552383
A3631,0.911
A5382,0.36559545
A5441,0.75976722
A2242,0.451778001
A2825,0.283
12485,0.015
171153,0.059
19555,0.036
18981,0.035
16553,0.002
12405,0.14
19807,0.008
A2682,0.0813
10516,0.014
16908,0.021
A2495,0.420480127
20635,0.001
A4647,0.128
A4905,0.1876
A4952,0.04399846
A6613,0.09570799
E2273,1.07
20781,0.006
171165,0.027
A1945,0.449963631
10608,0.031
A6069,0.619607177
A4174,0.803
A3054,0.045
E5264,1.033
167713,0.073
15905,0.005
A4198,0.132902564
A3142,1.049612744
A6033,0.0432
A2035,5.03
A3250,0.246
A2834,4.35
A3033,1.71
A4073,3.66
A3833,0.115
A3831,0.707
21596,0.041
S2926,10
13297,0.005
12689,0.043
15553,0.007
E6208,3.14
E1245,4.234
E5518,0.0565
E5655,0.126
E6120,3.7
E6242,4.18
E6169,2.5
21986,0.085
20493,0.0425
A1757,0.363327488
E3786,0.228
13718,0.004
16408,0.03
12356,0.021
15396,0.226
A7501,0.007
20676,0.0254
E2186,0.065
A2454,0.039
A2690,1.399786054
A3197,0.407
A5434,1.15983569
E2660,0.608
16237,0.05
12158,0.076
A1986,1.51
319885,1
10002,0.528
16620,0.366
12594,0.405
19496,0.025
E4621,0.231332109
E1581,0.133
E4716,0.850939286
E5426,0.46
E2822,0.148
A6008,0.029937096
19837,0.136
E6350,0.558
10866,0.042
168955,0.02
15397,0.057
168982,0.757
E6336,0.062
16535,0.098
169941,0.034
16232,0.218
A6842,0.291659894
A6510,0.256733281
E4445,0.54
E1673,1.299995732
19164,0.008
20701,0.049
E2248,0.283
13826,0.126
11441,0.048
11062,0.027
14098,0.052
16477,0.003
10454,0.038
11212,0.004
20531,0.039
11822,0.111
21214,0.0158
167720,0.036
10518,0.014
20999,0.661
169481,5.98
E3908,0.263083575
167793,0.14
A5082,0.7877
A1547,1.730001299
A5711,0.816012674
A4326,0.9962
A6891,0.941
169073,0.092
A5588,0.0791
A2324,0.930771543
A4304,0.0811
A5774,0.200034235
A7460,0.618699993
A5761,3.1
A8520,2.02
A10842,0.239
11163,0.145
10463,0.079
11121,0.068
A1555,2.590919617
A5531,0.195498311
A8840,0.697
A2767,0.282134454
A2043,0.421
A3558,0.806
A5007,0.306
A4247,1.882408336
A3950,0.133809749
A2675,0.199
A3175,1.42
A3569,0.769746252
A1965,0.509837824
A10442,0.4538
A4741,0.4216
A3464,0.66995593
E3733,0.199580643
15937,0.006
318390,0.24
A7298,1.049159152
A6697,0.35
A4656,0.828
A5532,0.058059823
A6945,0.6988
A6139,0.479900727
A7351,0.54
A5849,0.43
A2444,1.369848957
A4483,0.028
A8675,0.427
A7378,0.4536
E4103,3.82968038
A1885,0.926689212
A7189,0.392
A3485,0.797
E2054,1.682827693
A3884,0.020411657
A2199,0.374
A2649,1.41
A3184,0.983841851
E5904,0.243
17924,0.021
E1768,0.733
A4423,0.259
A5822,0.085728958
A7353,0.5707
A5974,3.399674813
A6145,0.644554758
A4939,0.389
A5927,2.129162585
A2360,0.448
A7255,0.850939286
A1015,4.034250539
A2341,0.9637
167849,0.005
168344,0.01
10828,0.322
169545,0.27
11216,0.113
21674,0.016
11382,0.048
15918,0.159
13394,0.017
168930,0.068
10905,0.186
E3456,0.143788781
10857,0.027
319608,1
21782,0.03
21887,0.001
19868,0.515
20836,0.007
20135,0.048
10420,0.002
170391,0.003
180661,0.003
170650,0.016
10705,0.107
20528,0.021
16496,0.163
12984,0.14
12416,0.711
167719,0.032
20192,0.043
169075,0.109
11068,0.077
16285,0.012
170528,0.012
16286,0.034
A5683,0.800590533
A4821,1.506
A5741,0.115666054
A5709,0.1831
A4436,0.1581
A2277,0.757045666
A5029,0.188694426
A3642,0.8727
A2319,1.189772787
A7260,1.599820289
A5834,0.3002
A7159,4.007488589
A7313,1.464649763
13985,0.047
20051,0.088
13305,0.7937866
16289,0.06
167710,0.053
169931,1.903
10321,0.007
169597,0.073
A2412,1.949993599
S2924,9.61
16277,0.003
A6978,0.672677485
A3678,0.991
A8609,3.05
A1493,2.33
A3570,0.769746252
A3595,0.963883786
E6328,0.401
A4031,3.85
E1789,1.18
E3937,0.765663921
10172,0.011
14722,0.005
E1402,0.449963631
20190,0.003
19480,0.008
12616,0.002
A8752,10.1
E1643,1.79
A5807,0.523
170834,0.16
168981,0.621
A3988,5.725242894
A4046,2.1
A4125,3.64
A1685,0.657
A4572,0.476
A4071,15.1
A5528,0.123
18132,0.01
16992,0.239
13311,0.017
169151,0.16
169086,0.05
A7480,0.547485991
E4675,0.181
E1516,0.105
A3355,0.106
E2166,0.0842
13087,0.015
A2154,0.888
20766,0.0558
A10291,0.625
A2800,0.284
20677,0.0306
16915,0.022
10722,0.071
174323,0.019
10308,0.013
10435,0.17
A3105,0.037
A2810,4.22974885
E5161,0.255
E4699,0.04
16435,0.014
20837,0.009
13306,0.003
13691,0.026
A5777,0.019
A11313,0.19
A5837,0.185519279
A3852,0.278959308
E3637,0.365
E5697,3.05
E5659,0.262
21282,0.042
188682,0.091
14723,0.097
13033,0.022
E3689,0.377
A5664,1.19
13878,0.003
177038,0.011793
A3322,0.138
167731,0.109
177047,0.703068
16863,0.013
A3258,2.18
A4468,0.072
A2729,0.446788484
A2678,0.235
11581,0.115
20125,1.003
A2748,0.834609961
A11335,0.01
A6528,0.051
A5846,0.612803292
A10453,2.017
A4222,9.321776796
E6245,0.35
E2014,0.444
E1011,0.298463779
E1838,1.46
A10512,0.2549
A8607,3.68
11321,0.027
A4255,0.265805129
169554,0.027
319887,1
319606,1
16056,0.004
319900,1
17718,0.00399
170093,0.003
10212,0.128
A1937,0.313
13617,0.018
16532,0.007
170110,0.621
E5529,12.1
E1758,1.569883193
E5504,1.17
E3885,6.57
E5576,11.1
E1268,1.41
E5548,0.072
E5511,1.65
E5474,0.041
E5470,0.464
E5471,0.125
E4872,0.12
E5162,0.43
E3861,0.21046686
E3194,0.085
E3740,0.121
E5641,0.114
E5866,0.47
E3006,0.069
E6131,0.127
170893,0.025
E6292,0.03
11524,0.113
10850,0.122
15322,0.003
A5833,1.194
E1927,0.383
A3076,0.173
A7435,1.259626011
A2835,4.347229274
A4020,0.043091275
11576,0.038
11786,0.012
12390,0.024
12906,0.008
19550,0.038
20505,0.0047
20658,0.007
18776,0.007
12523,0.033
20838,0.0127
17861,0.346
A6987,3.096
A5930,1.925
A3005,0.65271942
A3476,0.381924776
E5514,21.4
E4819,0.049
169602,0.019
A6973,0.491694129
16943,0.085
A7202,0.4296
15469,0.011
A5838,0.5909
A5053,0.082553811
287813,0.04
21977,0.009
A3793,6.12
A6143,1.131259371
A8276,0.39
A8278,0.285
10548,0.005
170068,0.01
A3375,0.168
18531,0.017
A3687,0.24493988
13509,0.0168963
169435,0.099
170316,0.013
10415,0.019
A10388,3.7461
11547,0.013
20050,0.01
13879,0.009
169224,0.149
A7131,0.1173
A7004,0.7061
A4095,0.01723651
10441,0.001
10858,0.001
16914,0.022
A4973,0.1072
A4627,0.119748386
A2382,1.644725934
176968,1.224699
11595,0.024
11917,0.043
171403,0.022
11527,0.003
16682,0.174
A3079,0.045
15278,0.007
A6902,0.5512
17843,0.089
A6936,0.094800805
A6204,0.699893027
10333,0.041
17746,4.5354
16819,0.073
A4053,0.005
17646,0.091
15826,0.712
20035,0.004
E2362,0.128820233
11613,0.065
A10696,3.66
10657,0.021
A7989,0.1834
A8317,4.45
16433,0.02630836
15453,0.01577
20359,0.053
E1534,0.19323035
A7343,0.16
A3866,0.465
A5470,2.309692348
A2988,7.03
A8490,9.75
A2751,0.116
A3811,0.118
E2202,0.117026831
E4904,0.153
E4049,0.411
E4743,0.119748386
E1133,0.298010187
E2723,0.224981816
E4260,0.229971332
E3174,0.152
E1852,0.071667594
E1915,0.633668541
E2394,0.134716934
E4189,0.372
A4477,0.617
A6910,0.479
A3764,0.199
A7185,0.884958714
A4512,0.220899484
A7481,0.664
A10452,1.6794
A6271,0.349266125
A10410,0.6101
A2917,0.308442812
A8902,0.109496
A7432,0.416851388
319620,1
A8698,0.011
15395,0.01
12683,0.115
A8867,0.067
21575,0.031
12647,0.105
10310,0.018
10455,0.0454
E5475,0.125
E4826,1.139877626
E2327,0.366
A3575,1.61
A2962,3.14
A4160,1.08
A6400,3.999777519
A5096,6.419692813
E1884,1.160742875
E4087,0.458
E3982,0.185065687
A8616,2.44
A8626,4.15
A8602,2.66
A8832,3.31
A2349,1.983
A4549,0.2448
A3594,0.911
A8913,0.2806
E1426,1.1482
E2514,1.76
E3765,1.58
E1170,3.074
E3414,0.1305
E4930,0.2882
E2497,0.219992299
E4502,0.069
E4871,0.851
E1356,0.865907834
A2695,0.593
A2739,2.65
A2891,5.9846
A8749,7.76
A3063,0.262
A4467,0.1598
18246,0.068
19096,0.1
11440,0.063
13035,0.017
20569,0.013
E3232,0.0862
E3402,0.429
E5263,0.228
A5204,7.699730481
A2993,0.996
A3278,1.78
A3660,6.03
E1248,4.43
E2373,1.07
E4720,0.365
A8748,6.21
E3840,1.1955
A2906,0.357
A2839,5.28
A3069,0.152
A2927,0.629
E5462,0.835
E4003,0.4361
E4342,0.19
E1867,4.1
E4159,5.23
E3153,0.200034235
E4631,0.214
A3019,1.179793754
A3847,12.49964494
A3749,0.011
A6445,0.544310844
A6343,0.593752412
A8678,0.232
A5092,0.6
A6539,0.354
21059,0.002
171633,0.012
19782,0.174
16366,0.172
170801,0.089
171684,0.136
170868,0.023
13040,0.007
12734,0.149
20995,0.0247
169398,0.014
170818,0.01
E1941,0.778
15339,0.131
A5133,0.5
A8621,4
E4684,1.0419
E2505,0.079
E1731,0.039008944
E6180,0.454
17183,0.03075
E4969,1.04
E3476,0.267
E1202,0.867
E1204,1.6855
E1275,0.5512
E1549,0.406
A8218,2.4
A2902,1.069570808
A2981,1.109486937
A3929,0.029937096
A8558,0.066
A2702,14.09946523
A3941,0.537
E5159,0.282
14678,0.017
A8727,0.011
169593,0.11
E3422,0.114
20229,0.033
169483,0.068
15967,0.408
19596,0.031
13608,1.1865
15224,0.014
12648,0.011
12231,0.016
195469,0.06999928
A3182,0.186
170891,0.144
16354,0.036
169439,1.232
176312,0.0349
169937,0.186
20558,0.0067
20506,0.006
21089,0.011
15887,0.042
20557,0.0611
A4911,0.3
E1895,1.18478327
15449,0.028
S2923,9.4
E4139,0.033
A4706,0.535692589
A2744,0.627
A4484,0.1192
E4763,0.237
16971,0.0009
10586,0.008
E2375,2.18
E6302,0.25
E2251,0.455406739
A4069,0.146963928
13834,0.004
A2142,0.128
10167,0.04
16683,0.375
13396,0.008
10208,0.07
E2830,1.55
167847,0.008
A7311,0.509837824
E2657,0.524
18126,0.015
A4196,0.141974412
19102,1.115
A5908,0.664
E3809,0.405
10909,0.062
E4131,0.414
E3190,0.549753952
17275,0.002
E5532,5.55
A7130,0.209
21924,0.003
171683,0.684
176371,0.02296
170170,0.136
E4730,3.16
A6370,1.499576375
20240,0.86
E3776,1.95
E1982,0.732
E4164,1.261440381
E1447,0.897
A7397,0.395986139
A4411,0.334
E1791,0.805
A2232,1.642004379
A4691,0.961
A4409,0.095254398
A8778,0.54
A5654,0.257
A8280,0.214
A4519,0.2533
A5824,0.25265095
A3747,0.855
A3126,0.407
E4224,0.109769354
E2296,0.769
E4300,0.389635846
A2601,0.0972
A4007,0.362873896
A3858,0.342008647
A6407,0.48987976
18629,0.05
16061,0.019
170994,0.15
10140,0.004
16749,0.008
15448,0.091
13823,0.042
192862,0.0431
16663,0.58
13881,0.003402
14351,0.048
A5661,0.619
18909,0.05
19380,0.011
10309,0.003
13939,0.004
A4271,0.360605934
A3002,1.07
21707,0.0454
A4529,0.355616418
E4195,0.697
A5589,0.128
A5596,0.007
A6806,0.141974412
A6477,0.118841201
A1392,0.012025
A4516,0.200034235
A7373,0.049
E2680,0.24493988
13682,0.016
169018,1.903
169661,0.757
169480,2.093
16055,0.001
10819,1.142
A2231,1.642004379
A2783,0.0848
A11385,4.5443
E2795,1.882408336
E1891,0.0454
E4258,0.68
E3485,0.199
E3266,0.3091
319905,1
17478,0.1
21895,0.083
A11340,0.4889
12572,0.01
21644,0.012
11577,0.027
192844,0.009
E2050,5.28
E6250,0.43
A2584,24.8
A3900,2.78
A5942,0.276237753
A6050,0.530703073
A7259,0.949822423
A3094,0.7559
A3181,1.401600423
A4001,1.229688915
A7457,0.579691049
16328,0.096847
20672,0.0144
A2223,1.25735805
A1895,0.865907834
16578,0.042
16474,0.017
E1992,0.284
A3247,0.385
A10461,0.05
14287,0.015
A10865,0.01
18158,0.008
E5890,0.075
11863,0.001
A2756,0.239
E4291,0.781993246
E1319,0.133
E3844,0.2487
E1302,0.3821
A7500,0.2882
E1225,1.319953797
A4309,0.124284309
E2844,0.112
13708,0.016
A3801,0.242
A3086,0.177
A7123,0.20094142
A3062,0.260815613
A7656,0.699
A4446,0.299824557
16203,0.067
E1058,0.01
A3065,0.08
A5497,1.05
E4994,0.122
A1005,0.778818099
E6211,124
A5190,0.899927262
E1290,0.377
15649,0.028
A10909,0.407
170384,0.03
319817,1
18723,0.011
170761,0.187
A2029,3.2
10639,0.01
20502,0.0038
E2523,0.361059527
13368,0.028
A10464,0.478
A10173,0.5288
E3944,0.853
E5911,0.218
E1751,0.986
A4838,0.579237456
E4811,0.138
E4077,0.576969495
A6637,0.334751169
A5573,0.016
E6300,0.5
E2175,1.07
A8400,0.416
A2603,0.021
10478,0.055
A7335,0.2821
169071,15.04
19516,0.055
13828,0.189
14307,0.038
E5649,0.088
A4658,0.147871113
19770,0.188
170549,0.003
A4265,0.287577563
E1313,1.18659764
E2221,0.178
A4581,0.35788438
A5302,0.469921695
E1045,0.5707
E4878,0.3
E2266,0.366956227
E6171,0.108
E3079,0.362
16371,0.016
A8892,0.02
A10543,0.02
A8896,0.149
16493,0.011
17293,0.003674
10306,0.003
A3853,0.201848605
10354,0.063
170006,0.058
10870,0.301
16533,0.007
12238,0.131
A4437,0.0811
169936,0.136
A8357,3.66
A5212,0.2426
13688,0.023
A3628,0.0514
A7089,3.47
A4109,0.050802345
A8279,0.38
10028,4.639
A2144,0.198
E3659,0.113
A3646,0.657
A4603,1.19
A8403,0.786
16622,0.053
E3070,0.173725878
A7091,5.21
10852,0.216
A8648,0.132
A5501,0.039916129
A5510,0.190962388
A3816,0.224981816
A5426,0.264897944
A5479,0.449963631
A5808,0.516
15899,0.007
20131,0.008
E1607,0.297
A3400,0.117
A11309,0.016
A1009,1.722
A5759,0.558
19743,0.017
10098,0.034
18722,0.082
A3195,0.290752709
169349,0.16
319611,1
168883,0.063
16129,0.002
10952,0.005
21826,0.01632933
20306,0.0062
316100,0.00908
15944,0.003
10947,0.114
10132,0.017
A4021,0.188694426
16412,0.163
11947,0.014
170408,0.039
A1058,0.6976
E2679,3.37
19504,0.584
14153,0.06
A8668,1.491
A2939,0.456
12176,0.01304
A2794,0.0372
11787,0.012
12461,0.462
E6182,1
E2472,0.357
E6183,1.73
E6181,0.84
168990,0.367
17719,0.007
A5228,0.235
A5299,0.313
16609,0.001
A5705,0.45359237
21893,0.05
21892,0.84
170682,0.01
327911,1
15872,0.00337
A4471,0.199580643
10536,0.03
A10639,0.09
20495,0.013
12525,0.049
E2345,0.406
A1953,0.23
170103,0.083
A3703,2.981
E2319,0.59
169034,0.077
16085,0.267
16814,0.248
A8700,0.011
16750,0.023
E5862,0.22
13482,0.005
11272,0.027
319429,1
177027,0.44452
13283,0.075
316092,0.165
A2807,1.366673811
20764,0.005
A4722,0.027
20504,0.007
A10381,3.6765
20176,0.0005
20699,0.007
319609,1
13191,0.013
16149,0.042
A4876,0.2181
16248,0.145
A4724,0.173725878
A7426,0.071
A3044,0.124737902
10403,0.106
A1075,1.746784217
A1012,0.924874842
A4114,1.889665813
19351,0.000862
21085,0.002
20703,0.005
16432,0.0454
16769,0.059
A3354,1.773999759
A2913,1.174804238
E5843,0.398
A1211,0.94165776
E2305,0.388
12439,0.018
319884,1
E3319,0.094800805
E1418,0.615
S2916,0.0188
E4706,0.7877
16665,0.01
20843,0.008
A11334,0.199
E4132,0.407
A5790,0.974770003
E3212,0.1648
E3831,0.239
E3900,0.3505
A6152,1.2274
E6247,4
A3842,0.959
A3991,1.529967064
A7009,2.17
E5435,7.04
168931,0.044
318375,0.054
319554,1
21731,0.023
A4297,0.0631
A8385,6.08
A8355,3.06
A3574,0.464
A2621,0.405
A1925,4.889725749
A2975,10
A3971,12.5
A1936,0.364
A5118,1.303170879
A5176,0.07
A5113,1.56
A2007,1.4
A1912,0.753
A4261,0.455
A2859,1.37
A2641,0.561
A2969,3.12
A3236,0.414
A2153,0.304
A2145,0.605
A2949,0.98565622
A3457,5.3
A6466,6.199700513
A6507,0.13199538
A5409,0.15
A3206,0.611896107
A3030,1.792143454
A4159,1.366673811
E5508,5.31
A6829,0.3333
A8608,3.68
A8253,14.5
A1552,25.1
A2561,14.7
A6399,2.80955114
A2705,0.458
A8311,5.11
A6053,0.288
A2878,0.84
171338,0.032
A2005,2.26
A2101,1.249646979
A3173,0.777910915
A6032,0.133
A8349,1.65
13093,0.01103
A10063,3.96
A7356,0.542950067
A1517,5.05
E3538,0.07
A6046,1.369848957
E4158,0.128
E3453,1.805
A8310,1.2
A1530,1.32
E2223,0.079832257
325172,1
167529,0.007
21704,0.458
A1528,7.7
A4257,0.4223
11545,0.008
A5327,3.519876791
13778,0.031
A3272,0.246754249
323616,1
20049,0.105
16898,0.001
E3902,0.01
E3361,0.545
11690,0.006
16618,0.105
A7424,1.465
A2402,0.039008944
A3881,0.254011727
16436,0.037
15108,0.221
E2835,0.0993
168988,0.024
A2922,0.84
A4881,0.222260261
169553,0.044
16084,0.127
E4052,0.198
A7411,0.1765
A3359,0.115
16357,0.509
12059,0.394
A5745,0.606906591
192817,0.002
A4292,0.3053
A6082,1.0369
A5867,0.7418
10459,0.014
A6202,1.261440381
10806,0.826
10015,0.019
10504,0.003
15388,0.189
A3761,0.0196
E1677,0.854568025
A8599,0.695
A4753,0.006803886
A4418,0.185972872
11169,0.223
18122,0.014
E3645,0.055
11221,0.121
10698,0.047
E5972,0.4424
E5875,0.1488
E3641,0.35
A4709,0.914
E3718,1.084
A2411,4.259685947
A4083,2.109658113
A3532,3.379716749
A7072,0.2
E1638,0.154674998
E2215,0.163746846
E1382,0.1103298
A4439,0.141520819
A4707,0.47
A4470,0.2983
E1722,2.15
A4949,0.305721257
E3571,0.241
A7310,2.799572108
A6253,0.7914
A1520,1.049612744
E1368,0.805580049
A4880,0.059874193
E3876,0.355162826
E3635,0.127
E3655,0.293
A4684,0.135170526
19771,0.2313321
A4633,0.344730201
E3024,0.124284309
A2887,0.482
16239,0.02
13390,0.013
A5911,0.268526683
E2733,1.76
E3867,0.014514956
E2709,1.76
E4102,0.93394669
A8221,0.945
A1027,1.1
A1053,9.909632507
A4806,0.287
A8629,3.8
E1039,0.26
20786,0.2944
E3948,0.6
E5901,0.381
E5883,1
E5874,0.381
E3285,0.636
E2126,0.843
E3433,0.157
E2895,0.634
E5407,0.621
A4992,0.195951904
A5559,0.826
E3815,0.45359237
E4884,0.547485991
E2409,0.111
E1560,0.132
E3874,0.5095
E1211,26
14105,0.09
A3352,0.11
E2799,0.112
E3205,0.35788438
E4104,0.8675
E1192,1.249646979
E1008,0.199580643
E3041,0.083914588
20098,0.1
21088,0.001
A4076,2.095596749
A2874,0.727108569
20508,0.2136
A2252,1.361684295
A4049,0.193683942
A3145,0.385
A2103,0.677667001
A8933,1.25
A3661,0.039916129
169662,1.133
A1950,0.465839364
316091,0.054
A10838,0.592
11546,0.43
20380,0.159
A5078,0.199
18710,0.094
167856,0.29
A4210,0.0216
19116,0.367
168959,0.01
170497,0.077
11916,0.0435449
170496,0.036
16623,0.101
16097,0.016
10411,0.018
19379,0.125
18255,0.061
20410,0.013
13483,0.011
12680,0.026
12256,0.028
18860,0.023
13990,0.029
169607,0.017
21906,0.014
12354,0.005
15906,0.005
19783,0.021
20312,0.011
16252,0.0031
20782,0.001
13816,0.9979032
10493,0.117
169225,0.462
170646,0.598
167798,0.094
18940,0.001
A4655,0.084
E3796,0.928049989
E4168,0.7497
E3112,0.081
E1951,0.366502635
E2069,0.148
E3522,3.52
E1622,0.236
E2086,0.283
E1381,2.299713316
E1627,2.21
E3866,0.225889
A3561,1.639736418
A5505,0.466
A1223,28.4
A5556,0.3002
A5731,0.5916
A5601,0.4927
A3441,1.015
A5017,1.805
170493,0.83
13689,0.023
A1896,0.627
169438,0.423
21123,0.01
15433,0.965
E1595,0.841
16187,0.602
A4350,2.082442571
A4280,0.177808209
A4513,0.141067227
A2593,1.866986195
A1102,1.34172623
A1107,1.089982465
E1310,0.469468103
A6021,0.241764733
A7272,0.257640466
A5772,0.2487
A7262,0.186880056
A7062,0.9127
E3537,0.645
A4715,0.254
A6311,0.399614878
A4556,0.1636
A6174,1.580769409
A4617,0.397800508
A3877,0.025854765
11689,0.006
19396,0.005
A5893,0.0493
A3674,0.27
E1582,0.133
E4795,0.865907834
A4391,0.381471183
A8525,0.711
10124,0.018
A1049,0.2656
171166,0.009
A2129,9.16
13523,0.002
S2927,0.386
E3551,0.54
21055,0.0527
13825,0.116
21983,0.003
16231,0.082
18384,0.0122016
E5515,14
A2068,0.099790321
E6141,0.02
A8670,0.123
10320,0.012
A4039,0.112490908
15869,0.064
16230,0.032
22060,0.076
17842,0.019
15279,0.007
10507,0.005
A8738,0.11
A4100,0.84
A3933,18.48298189
A2251,1.809833556
13222,0.001
16150,0.042
A5074,0.005
20193,0.027
A3876,0.024
E4856,1.633
A2651,7
A3166,0.367
A3014,7.555488107
E2671,0.617
E3417,0.4877
E3225,0.5852
21992,0.013
A4342,0.307989219
E1657,0.0393
A3954,0.3972
E4682,5.276186448
A8536,1.325
A6916,0.279866492
E2317,1.77
A3110,0.7559
19731,0.039
A5783,0.233146478
10379,0.02
18498,0.06
13737,0.114
19050,0.038
A5744,0.381471183
A5958,0.491694129
A6303,0.29664941
A7363,1.1546
A5355,0.469921695
A8777,0.58
A5469,0.193
A6446,0.133
A8622,3.02
A5638,0.374213705
A4850,0.25
A4571,0.242671918
A5621,0.2
A4598,0.128
20185,0.458
A6189,0.205
A4568,0.043091275
E5551,2
E2168,0.996
E5643,0.147
E5865,0.181
E4207,1.15
E4076,0.083460996
E4028,0.032658651
E4310,0.291659894
E6185,2.58
E4078,0.7445
E3219,0.0387
A2261,0.038
A8272,0.321
309270,0.02
A3034,0.469468103
A6264,0.7356
A8307,1.05
A2731,0.111583723
12406,1.165
E3938,0.2945
E1757,1.3181
E2550,0.338
E2652,0.75
E1753,0.7574
E2766,0.64
E2513,1.76
E5897,0.191
E6063,0.462
E5830,0.469
E5831,0.515
E5922,0.758
E5440,0.156
E5439,0.153
E5967,0.303
E5453,0.158
E5455,0.105
E5454,0.231
E5456,0.217
E5780,0.185
E6168,0.175
E6174,185
E6251,0.2502
E4357,0.0195
E4350,0.0188
E4074,0.0233
E4093,0.0535
E5217,0.024
E5223,0.03
E5618,0.0315
E5226,0.021
E6092,0.0542
E6123,0.395
E6090,0.105
E5881,0.4733
E5973,0.381
E5974,0.381
E5893,0.4284394
E5833,0.555
E5501,0.53
E5884,0.138
E6072,0.256
E6002,0.392
E6069,0.243
E6070,0.165
E6068,0.427
E6004,0.645
E6067,0.293
E6005,0.444
E5829,0.43
E2155,1.145774327
E4031,0.664
E4033,0.886
E3221,0.345
E4115,0.3541
E3395,0.203209382
E4227,0.825991706
E3214,0.7062
E4053,0.198
E5821,0.141
E5899,0.378
E2169,2.4726
E2866,0.1095
E1400,0.0734
E4893,0.857
E1349,1.32
E5847,0.422
E2744,1.21
E1389,2.739697915
E1717,1.1598
E1520,0.105
E3156,0.39
E5825,0.066
E5395,0.125
E4790,0.08
E3015,0.245847065
E1579,0.128
E2338,0.274
E2807,0.143
E4512,0.190508795
E5635,0.148
E6044,0.117
E3662,0.911
E2728,0.611
E3614,0.918
E2592,1.23
E5301,0.614
E3731,0.383
E5645,1.26
E5586,0.757
E5882,0.684
E5921,0.371
E3822,1.1311
E5898,0.239
E4521,0.155
E5469,0.176
E3241,0.123830717
E3144,0.2832
E4001,0.464
E1207,0.9637
E2591,1.23
E6077,0.267
E6065,0.187
E5925,1.04
E5763,0.287
E5958,0.186
E5959,0.307
E5991,0.144
E5956,0.237
E4267,2.61
E3990,0.723933423
E3658,0.911
E6233,0.074
E6237,0.071
E6253,0.079
E6288,0.168
E2932,1.19
E4108,0.998810399
E5584,1.07
E5585,0.607
E5141,0.143
E2295,1.85
E5879,0.245
E5510,0.062595747
S2902,0.283
S2899,0.0257
S2900,0.634
S2897,0.843
S2901,0.414
