ItemNumber,ShippingReportWeight
S2898,0.6
S2903,0.458
E2257,0.116
E4218,3.13
E6050,0.187
E5730,0.129
E4200,1.23
E6315,8520
E3785,2.46
E4343,0.0019
E4174,0.114
E6255,0.0653
E1387,3
E5669,0.901
E5957,0.569
167828,0.006
171386,0
E2013,0.444
E4688,0.615978438
S2869,1
E6287,0.142
E6230,0.097
E6289,0.125
E1461,3.87
E6235,0.338
E6285,0.09
E6048,0.074
E3238,0.231
E4039,0.283948824
E3998,0.026
E4285,0.0141
A2784,5.819590107
A10904,0.43
11726,0.009
A1529,5.67
319903,1
E6102,0.411
E6107,0.125
E6097,0.229
E6112,0.112
E6114,0.338
E6110,0.191
E6108,0.265
A4441,0.099790321
A2607,110
A8277,0.221
E6099,0.445
E6104,0.225
A2579,110
20133,0.038
A3300,0.0324
14908,0.016
A4454,0.141520819
14107,0.217
20411,0.039
171531,0.429
E6060,0.004
A10846,0.84
A3027,9.99808302
15782,0.021
16820,0.046
A4250,5.06
170112,0.089
E6061,0.16
15917,0.108
319616,1
20134,0.059221
E4306,275.819
E4296,279.2637
E4238,240
E4223,250
E6186,151
E4284,137.3859
13884,0.003
319813,1
19910,0.005
E6105,0.274
11865,0.002
20503,0.0047
A7366,13.4
E1608,0.214
E4210,0.232
19589,0.01
E2026,0.635029318
E3817,0.4462
170819,0.815
12568,0.018
10355,0.007
A1702,11.6
14785,0.01
A3357,0.084
169660,0.621
318389,0.004
15666,0.041
A10119,1
A10121,1
17292,0.248
21323,0.159
A2279,61.4
E5839,0.286
E5840,0.192
15637,0.001
17583,0.079
14278,0.012
A2808,0.149
19018,0.071
A4950,0.005
17107,0.004
A2254,1.79
A4672,0.004
E3633,0.008
A1998,3.269947395
A2358,354.916
16538,0.009
17064,0.001
E5607,1.23
E3832,0.398
321620,0.04
321613,0.317466
312842,0.45
312850,0.2
167859,0.531
170011,0.194
323795,0.18
312773,0.17
312898,0
170228,0.043
312863,0
10004,0.088185
170527,0.13
170118,0.007
322268,0.054
316752,0.0124
321526,0.094799
323613,0.5509
323709,0.14
312771,0.79
312890,0.33
322447,0.03175147
167874,0.016
167862,0.07606
310704,1.2864
322754,0.363
168900,8.8
323683,0.14
321614,0.482812
322752,0.308
312851,0
312894,0.1496855
322750,0.163
319907,1
323797,0.99
298619,0.198
170268,0.259
307521,1.145
326304,0.041
323617,0.1057
322751,0.115
312893,0
320677,1
A3869,25.65019493
A1971,0.098883137
E1850,0.0654
A4906,0.173725878
A2863,0.327947284
320094,1
13646,0.023
A7271,1.379
16771,0.077
18585,0.088
A10394,0.017
20313,0.003
12419,0.018
12610,0.276
A8316,1.42
168975,0.202
A2381,1.644725934
E3262,0.147871113
E2037,0.284
A2629,0.019
E2808,0.229
319436,1
A3361,0.24493988
322659,0.013
E4109,1.073199547
A5537,0.015
19860,0.011
A3723,0.925
E6135,0.201
E4634,0.065
E1187,0.9127
19118,0.249
A8070,0.4536
E3732,2.93973215
A8323,17.3
318387,0.005
170390,0.094
169120,2.908
169076,0.109
12795,0.2
A5828,1.613
A5025,0.224
A7621,0.324
A6677,0.42683042
A1786,0.4274
A10448,4.9892
E3823,0.167
A7270,0.6988
A10899,3.64
A4589,0.4223
A2092,4.6
A6675,16.4
E5861,0.959
E1148,0.0263
A4155,0.210013267
E6309,0.568
E1793,0.039
E3430,0.04399846
19701,0.023
E3714,0.826
E1231,5.33
A10395,1.204
A8918,0.4055
A10481,50
A10483,50
19927,0.005
A6101,10
A1537,16.5
A3540,0.341
A4934,0.336111946
A7479,0.5202
A6974,0.231785701
A5811,0.342008647
A1052,0.923967658
10659,0.036
168562,0.036
20556,0.008
A5412,0.249929396
A4596,0.190055203
168964,0.815
A6975,0.533
A3848,2.759655979
A6267,7.008909301
A6927,1.11
A8350,2.69
A2156,0.4
A4851,0.3126
A1342,37.56742727
A2738,0.219992299
A4789,0.579
A5540,1.690085171
A10397,2.9294
A3177,1.842
A3917,3.303966823
13948,0.026
E2002,0.239
A4047,0.215002783
A4738,0.273969791
E2781,4.23
A10941,0.208
169352,0.014
170863,0.04
14750,0.057
E1253,3.14
A6054,0.017
A8871,0.918
A7703,0.78
A6004,0.903102409
A1074,0.5707
A6198,1.6087
A4921,2.119637145
A5842,0.5963
E1707,4.12
A1157,52.6
168953,0.044
A3982,0.065
A4154,0.188240834
13872,0.03
A4340,0.307989219
A2194,2.252993302
170832,0.621
A1975,0.890855415
A5952,0.8752
15681,0.041
A4903,0.157850145
E4298,0.2011
14289,0.028
E4737,0.039
E4734,0.065
E1503,0.13
E6143,0.3
E3086,0.221806669
E1320,0.134716934
E1624,0.13199538
A6918,1.57
14108,0.136
A4178,0.363
A2186,0.039
22002,0.003
11840,0.057
10322,0.054
A6022,0.349719717
A6136,0.273969791
13032,0.022
14067,0.019
A4317,0.1721
13506,0.114
A2918,0.399614878
20177,0.0357975
A10890,1.83
A5269,0.148
A6906,0.123
E6157,2.21
E2502,0.066
320091,1
E2705,0.212
E1206,3.509897759
13865,0.01
A6941,0.140160042
A8254,14.2
A1962,0.936
11590,0.015
A10933,0.03
A7008,1.6855
A4217,1.231503285
18643,0.313
E4191,0.469921695
A10372,3.3599
15902,0.003
A5533,0.1133
A4116,1.119919562
E1578,0.128
A6250,0.533
E1679,6.56
A10440,0.5296
A1242,84.9
A11436,200
A1538,8.119757015
18966,0.15989
A5737,0.21046686
E3454,0.190055203
E2324,0.414
20725,0.02
A10145,0.037
E2395,1.07
A2806,0.241311141
13531,0.002
A4999,0.143788781
18300,0.06
267023,0.005
A2715,0.592
18980,0.004
20997,0.0156
10627,0.999
A10907,0.33
169984,0.274
167714,0.239
169044,0.362
E1829,0.029937096
S2919,0.241
E5265,1.93
E3530,0.083
A10849,0.071
E4214,0.867268611
15684,0.394
20092,0.014
E1166,9.499585005
E3017,0.40006847
A11437,200
A5257,1.397518092
A5293,4.52
A3266,0.1357705
E4972,4.58
E5485,0.199
E4799,0.2821
E1671,0.329
E5502,2.56
E1729,0.03
E5605,0.031
E2213,0.037
A5259,1.15983569
E3381,0.178
E5815,0.383
A7323,0.622782324
E3228,0.2135
13519,0.0053977
16907,0.174
293014,0.0454
20106,0.023
A4074,1.701878572
10600,0.384
20228,0.053
A4845,0.113851685
20704,0.01
A6957,0.542950067
E5653,0.303
A8759,0.024
169508,0.188
E4928,0.782
A8346,0.71
170230,0.024
A8419,18.4
167818,0.179
19752,0.008
16254,0.004
E1296,0.550661137
E1593,1.15983569
E1735,0.398
11754,0.077
A8631,3.53
A3508,0.349719717
A1404,0.028576319
A5247,0.1772
A10765,0.6541
A4718,0.7202
A5274,8.759775849
A3896,19.39969207
A4043,49.30549062
A2717,0.366502635
12018,0.02
A2384,0.430912752
E2161,0.833
E2720,0.537
A2873,5.819590107
A2046,0.844
E4374,0.449963631
319439,1
170547,0.074
A10513,0.1275
13609,1.265
177909,0.011
A4606,0.110676538
18728,0.001
A5892,0.185065687
E2039,0.284
A1308,0.0107713
A6448,0.0098822
A6568,0.015
A1126,0.0078205
20110,0.063
12308,0.003
168582,0.274
E6297,1.71
A1798,3.12
E3055,0.218
E5642,0.077
E5547,15.1
A5411,0.249929396
A6930,9.99
16157,0.086
A6245,0.075296333
A4660,0.3091
10373,2.427
E1323,4.12
16057,0.004
E3951,0.228
169223,0.031
174287,0.128
A4634,0.357430788
15114,0.021
A8811,0.419
A6141,1.681920508
A4847,0.203209382
A4113,1.889665813
A7334,0.876794051
A10597,0.2128
A4122,0.074389149
169119,2.179
10473,0.05
10326,0.19
10427,0.17
171723,0.163
10846,0.102
18789,0.026
A6925,0.071
167530,0.0907
169125,0.593
E4825,0.901
E1476,0.421
E1863,0.039008944
E4672,0.816012674
19329,0.004
E6142,0.07
E2789,0.351534087
E2427,0.0663
E1209,3.6
E1251,1.63
E1611,0.602
E3064,0.383739145
A5713,0.222713854
E1594,0.838692292
318373,0.027
A8927,0.025
A7294,1.21
A5477,0.747
13484,0.131
E3802,0.800590533
11439,0.02
A3112,0.620514362
21052,0.012
E5871,0.195
169818,0.269
A5742,0.021
15398,0.002
193254,0.011
19017,0.00891
E6156,0.458
14729,0.003
193261,0.002
E3093,0.086
A6151,1.2274
13927,0.001
A4947,1.19
14059,0.213
176299,0.02
E4866,0.49
E3625,0.1897
E1691,5.58
A2066,0.108408576
A1475,0.939843391
318386,0.007
A1969,0.635936503
A10856,1.07
A7140,0.188694426
16478,0.007
21009,0.0172
A3139,0.789704316
A7692,0.97
A2928,1.070931586
E4140,0.644554758
A8408,0.444
E1854,62.5
A4993,0.067131671
A3860,0.11475887
A3729,0.271
319563,1
A4461,0.1252
16283,0.002
10074,0.067
E3346,0.01
22106,0.038
20047,0.034
10835,0.069
170804,0.262
A4494,0.03447302
A8588,0.499
A3743,0.594
A1935,0.412
A4335,0.027669135
E5184,0.53
A4194,0.125645086
E1490,0.895
A6876,0.45
A7547,1.013
A5102,0.994274475
A3393,0.045
A2942,0.6119112
E5441,0.152
A10552,0.1654
A8432,22.7
A2698,1.421558488
E5538,143
11528,0.034
10742,1.232
E3295,0.103
E2029,0.144
A4412,1
A8920,1
11057,0.602
A2832,0.603
A5948,0.550661137
A1951,0.435902268
A4682,0.1206
A3808,0.411
13465,0.001
A10444,0.0075
A8638,0.279
18245,0.005
A8614,4.233
21056,0.0416
168961,0.007
E1531,0.105
20231,0.009
E1567,0.133
E3229,0.404
A2935,17.49959363
E6325,17
E6323,8.5
E6326,37
E6322,490
A3057,0.043
A7469,0.138
A4207,0.259908428
E1370,0.342008647
A5016,0.75795285
168980,0.476
169089,0.056
170546,0.059
E3688,0.285
E3581,0.121
16521,0.036
15006,0.025
10057,0.04
A6193,0.349266125
A1065,0.0606153
A2490,0.474457619
A8538,0.849
A2496,0.420480127
A7827,1
A3968,0.356
A8768,0.202
A4554,0.03447302
A4747,0.350626902
A4620,0.2448
E3800,1.74
E2691,1.51
E4771,0.530703073
A7314,4.269664979
A5068,0.005
10785,0.091
A8921,9.48
19599,0.068
10185,0.003
10611,0.012
A7173,0.466
A2067,0.206
E5324,0.374
A7241,0.327
A10504,0.8159
E3227,0.3
A1893,0.881783567
21730,0.014
A3221,0.203
A8596,0.194
A6950,0.459942663
E2058,1.37
E3391,2.076
A3909,0.111583723
A8674,0.204
A4955,0.675
A4871,0.112490908
A3600,0.039916129
A4781,0.006
A10404,3.4076
A2747,0.862732688
E6363,0.571
10067,0.003
E3484,0.334751169
E5365,0.786
A2032,2.62
A8261,1.56
A8389,11.6
A1070,1.638829233
A5164,12
A8264,1.74
A3003,3.75
A3029,11.14930045
A8600,4.383
A3233,1.12
A10530,0.2408
A5702,0.167
A3947,0.362873896
A5679,0.800590533
A1541,1.709589643
E2413,0.23
11798,0.001
18505,0.081
A10688,0.69
A1205,1.55990416
A1791,0.550661137
E2084,0.463571402
169088,0.052
16153,0.003
170648,1.019
10958,0.233
10001,0.348
E5685,0.366
E1974,0.444
E5683,0.346
19989,0.005
325171,1
E2764,0.192
177016,0.090718
169153,2.179
E3084,0.1121
A2964,3.7
A3977,1.143959957
A2757,2.149574241
A3731,1.38
176890,0.28576
E1667,0.65
A5576,0.826
A4816,0.072121187
18814,0.024
13189,0.088
13340,0.0440461
14021,0.186
A7033,1.023757979
A6019,0.534785404
13833,0.027
15928,0.0218858
10108,0.0008
A3839,2.532859794
A10600,1.2402
A4445,1.19
A1059,1.299995732
263724,0.018
A3781,0.153
E4010,2.2947238
19592,0.003
A4121,0.590577266
A3562,0.490786944
192804,0.032
21049,0.0161
170339,8.698
169019,0.027
10979,1.142
A5928,1.34172623
A3863,0.0835
A1795,0.5466
A7038,0.884
20509,0.007
170406,0.024
A7231,0.850939286
19899,0.002
13391,0.01
16227,0.011
168342,0.027
A3314,0.0788
14063,0.005
A1881,3.83
320674,1
13877,0.013
16881,0.011
185276,0.004
A6481,0.283948824
A5757,0.294835041
A8439,0.453
A10473,0.585
A8823,0.335
A8610,3.62
A8604,2.68
A11338,0.4899
A3466,20.99951236
A6717,0.30617485
A8834,4.119
A4897,0.869990166
15916,0.054
16392,0.002
A8284,0.292
13773,0.037
A3879,0.083007404
15943,0.003
A8259,1.53
E3001,0.099790321
A4814,0.2181
16279,0.015
E3127,0.1252
A6415,0.229971332
A8353,7.38
260337,0.02
A4172,0.032658651
21208,0.023
A6924,0.7497
21937,0.054
15399,0.11
17656,0.049
E5512,7.18
E2193,0.487
A2867,0.201
A5015,0.75795285
306672,1.721
E1738,0.339287093
10394,0.023
A2779,0.20094142
169041,0.741
E3254,0.1819
A2884,0.3665
14503,0.476
A6913,0.123
A4830,0.011
A6486,0.345
E2732,0.568
A3205,1.773999759
A7282,1.446506068
A1923,0.303906888
168929,0.032
A9947,0.067
A2132,1.949993599
E5985,0.801
10834,0.041
A5545,7.245
10023,0.009
A1014,3.344
A7094,2.346
E3380,0.429
E4176,0.611442515
E2212,0.037
A8611,4.233
A3812,0.73
A4545,0.056
E2521,0.491694129
170831,0.429
A1796,1.615696022
11266,0.14
A8526,1.143
A4000,1.229688915
A3918,1.143959957
A4877,0.1305
A4474,0.1721
A4528,0.110676538
A2442,1.217895513
A2340,2.1546
11162,0.093
A6163,0.273969791
A2329,2.17996493
A2722,0.217724338
11481,0.044
A3517,0.7877
E3428,2.2145
A4915,0.259001243
15989,0.037
177032,0.703068
19817,0.027
A1062,1.299995732
18634,0.011
A2405,0.7574
18018,0.003
20326,0.0849
12472,0.003
A3961,0.544764436
319821,1
A6026,1.109940529
A7206,0.984295443
A6172,1.852017647
A7429,0.547485991
A1069,30.99940975
A2057,0.159210922
A2050,0.2451
A2020,0.4005
A8585,0.493
A7228,1.584
A2107,1.331293606
A10789,0.0724
10655,0.031
A10191,0.0837
A5033,0.0013
A7750,0.028
E5291,1.469
21405,0.004
A4831,0.1305
169608,0.022
A3957,2.999606343
21268,0.031
E3176,0.244
192845,0.244
E4020,1.702785757
A8601,3.38
A4853,0.215909968
E3818,0.1831
18199,0.067
A4779,0.484890244
16645,0.026
E1694,0.719
17164,0.026
A1976,1.239667947
168962,0.118
A2815,0.379
16429,0.042
E1964,0.22
A7312,0.256733281
A7036,2.03
A8531,2.115
S2921,9.45
A8292,5.01
16358,0.584
A8635,0.061
A8398,0.274
A8657,2.733
A7465,0.322957767
E5707,0.189148018
13996,0.358
10131,0.018
15219,0.1922324
20679,0.2029
12533,0.085
15228,0.032
319440,1
E3828,0.559
A7673,0.553
A8836,5.158
19788,0.634
11360,0.165
11640,0.038
10439,0.127
A4636,0.3347
10275,0.0005
21819,0.004
A6262,0.264897944
A4066,1.039633712
A2321,1.7567
A10924,0.392
170833,0.269
A3280,0.346
13547,0.022
170760,0.264
A5733,1.1955
A5282,14.4
A2064,11.816
10682,0.091
18204,0.014
E2453,0.198
171508,0.125
A5922,0.6147
A3895,7.12
169036,0.236
A2954,0.603
A3115,0.7
A1907,1.715939936
167718,0.027
20127,0.006
12981,0.011
A2053,1.134
A7706,2.17
A11435,2130
11099,0.507
18910,0.027
10558,0.015
169943,0.072
A4361,0.466746549
313925,0.73
A8262,1.7
A5289,0.463
E4202,1.05
16102,0.032
10044,0.029
10024,0.009
A6102,0.129727418
10856,0.097
A4033,0.659976898
A5454,0.599649113
10446,0.016
A7337,0.045
16427,0.005
10094,0.011
E2739,2.594548356
E6158,0.123
E1485,0.1248
E5986,0.801
E3698,1.79
E3045,0.013154179
E6111,0.715
169087,0.044
A8802,0.134
A5306,0.328
A8273,0.374
A8816,0.52
A8620,3.997
A8859,0.235
A5169,2.81
E3853,0.128
A8636,0.248
13320,0.03
12415,0.711
E5436,0.579
A7163,0.129727418
A6805,0.119748386
E5317,0.818
174315,0.0414
E5657,0.285
A3010,0.0842
A2560,18.2
A11419,1.8
10851,0.095
13984,0.006
E1205,1.17
10675,0.103
A5921,0.5257
E3181,0.491240537
A4943,0.083914588
A4308,0.171004323
319899,1
E2624,0.166
A3662,0.153767813
A7470,0.00952544
A2732,0.22
A2737,0.066
A2730,0.20094142
A2868,0.3
A2909,0.148
A2769,0.235
17611,0.002
170640,0.131
E2751,0.98
20566,0.004
E5853,0.117
A2015,1.2
10899,0.025
168881,0.516
19897,0.009
A5717,0.018597287
A5662,0.093893621
12233,0.227
E4697,0.069
185277,0.066
A6275,0.7789
E6179,0.367
12447,0.052
A6020,0.241764733
A3189,1.959972631
12509,0.114
10425,0.999
12455,0.052
A5721,1.0814
E1300,0.259
A3931,2.333
A5079,0.561
A7070,0.533
A4894,0.127
A4937,0.216
E3250,0.312978735
A5562,0.765663921
A5585,2.93973215
11201,0.136
10464,0.057
A2612,1.160742875
E4551,0.934
A4424,0.2386
A7050,0.204570159
A5693,0.291
A4291,0.415
A4595,0.239950364
A5059,0.086636143
A4296,0.5909
A5809,0.514373748
A5835,1.139877626
A2394,0.453
A8383,1.37
20529,0.01
21950,0.04
10636,0.027
A7431,0.464932179
319618,1
11316,0.034
19268,0.018
171152,1.957
E3192,0.053977492
A5886,0.323
A6288,0.26217639
303234,0.007
E4034,0.949822423
A10472,0.0565
E2670,0.617
E6043,0.817
E4833,0.001
S2896,1.26
E2219,0.08
E4150,0.085
E3016,0.415
E5915,0.233
E4591,0.37
E2585,1.28
S2915,1
S2513,0.062
E6155,0.139
E6058,0.012
E4134,0.8395285
E6286,0.131
E6240,0.08
E5975,0.288
E6301,0.443
E4845,0.081
S2624,0.435
S2895,0.649
S2894,0.843
S2893,1.07
E6332,0.241
E6324,2650
E6000,0.27
E6313,0.493
S2884,0.216
E4220,0.025854765
E6049,0.17
E5925,0.103
E1019,2.899816021
E1978,0.338
E3959,0.4046
E1844,0.075
A3387,0.337
A2586,23.3
A3870,15.1201
E5772,221
E4289,137
E6078,0.173
171527,0.227
11799,0.001
11905,0.001
20281,0.004
E2771,0.832795591
E1570,0.096
E1886,0.569
16576,0.083
A3376,0.265
A7277,16.2
13287,0.012
A10900,1.38
E6344,3.5
A2914,2.619949529
19223,0.097
E2848,0.698985842
A2787,0.067
A5365,0.379
318377,0.01
312844,0
312897,0.1
312845,0
312843,0
181279,0.0022046
328083,0.1
321133,0.207
167850,0.277
170333,0.107233
170635,0.01
312892,0.33
170503,0.112436
168938,0.157
171201,0.111
170761,0.413
312789,0.23
326503,0.353
169594,0.23
318378,0.007
329799,0.018
170102,0.01
20248,0.009
19020,0.141
10985,1.404
167725,0.036
A7253,0.2145
266000,0.115
10351,0.05
A4015,4.836201849
313911,2.83
17970,0.032
171219,0.429
E2440,0.128
A2328,0.067
E2367,0.246754249
16398,0.0454
E4971,2.29
10076,2.908
A8644,0.434
10421,0.05
176294,0.0553
16987,0.029
10499,0.006
13454,0.001
E2177,1.07
10913,1.391
E6035,0.104
319327,0.032
E3338,0.188694426
E4719,0.354
A10919,3.623
E1056,1.089982465
18583,0.079
A5077,0.334751169
A4839,0.579237456
A5854,1.3603
A5541,1.690085171
A5703,0.5095
A2833,0.653
A8581,0.388
A4713,0.147871113
A4264,0.287577563
A4639,0.083914588
10502,0.003
13285,0.008
171223,0.003
A4798,0.409140318
A4319,0.40006847
169485,0.274
192827,0.008
15966,0.091
A3713,16.4
14547,0.598
11010,0.621
A2241,0.038
316078,0.1386
E2969,4.23
A10911,0.065
10369,0.012
A7145,0.164200438
A2236,0.218
14491,0.058
320093,1
A3907,0.308896404
286314,0.018
16584,0.175
16121,0.006
E4325,0.544
A4539,0.143788781
A8328,0.54
E5530,15.1
E3098,0.056
E3870,0.342008647
A4192,8.06
A2976,17.87244656
A2250,0.197
A2491,289
E5860,3.07
E5954,0.974
E3128,0.1598
E3095,0.095254398
E1051,0.0866
E2226,0.045
A1495,3.33980062
169072,0.011
177908,0.05
21133,0.652
E1575,1.77
A3546,1.199751819
A6919,2.02
319888,1
E4850,1
A5762,0.523
A1064,2.132791324
E5438,0.166
A4259,1.19
E4065,0.903102409
A6645,22.22829409
E5506,4.18
A6330,0.11475887
10072,2.093
A3282,0.3668945
A5848,0.371
15164,0.049
21222,0.01
265064,0.002
168967,0.227
21883,0.077
182306,0.53
E2001,0.239
A10669,0.77
21126,0.0014
A4315,0.099790321
A2070,0.108
E4225,1.07
A2157,0.645915535
A10230,0.89
327570,0.018
A11383,0.761
A9830,2.43
A10848,0.096
15229,0.032
17297,0.0074
16405,0.029
A1359,13.49981612
177037,4.672001
E5427,6.24
E6109,0.116
E6103,0.124
A6354,0.34835894
A8343,5.32
E1577,0.108
A5224,0.411861872
A5480,0.427
E2146,1.7
S2889,0.027
S2917,0.027
A7413,0.54
A5416,0.283
E3478,0.404
A4763,0.244486287
A4698,0.347905348
A10771,0.1717
A1764,0.819641413
A4912,0.38
E1688,0.744
A7150,0.5708
A5046,0.616
21058,0.115
A1011,0.778818099
A10550,0.5129
A7046,13.757
E1334,3.89
E6371,0.003
12733,0.136
A4629,0.0691
A4460,0.221806669
16534,0.125
17862,0.059
18017,0.8699902
A3859,0.032658651
171685,2.908
17185,0.005
A8251,1.9
10319,0.023
20665,0.0159
A5907,1.87379008
E3915,0.182
E2361,0.228610554
A4050,2.789593076
16117,0.013
E1407,0.581
A6299,0.903102409
A11346,384
A3669,0.1562
A4584,0.289845524
A7588,1
A5929,0.4113
A2782,0.201
E4153,0.672677485
A1926,3.83
A4703,0.1211
E3666,2.02
13177,0.136
A2148,6.86
A10860,2.4362
10488,0.01
A2105,0.890855415
A5154,0.02
A6571,0.248
A8890,0.04
16986,0.012
A2925,1.702785757
E6266,0.2
A2692,0.273969791
E6184,1.08
E5398,121.85
E1631,0.672
A8329,1.42
A3450,55.5
A8835,4.119
E3887,0.75976722
A8912,0.012
177019,0.113398
A4701,0.027669135
A4618,0.053977492
12407,0.449
A8584,0.024
16397,0.0454
14308,0.096
304300,0.004
192327,0.005
E4769,1.492
E2336,0.59
A1897,0.865907834
19509,0.01
10116,0.017
A3926,2.3
A4928,0.171004323
A3953,0.421387312
15325,0.009
17754,0.013
A4059,5.286
E2082,0.603
A4092,0.313
A2221,1.15
A10370,3.2521
A8808,0.326
A2193,1.15983569
A5722,1.13
177017,0.172365
A7316,0.071
A2202,0.726654977
E1465,2.11
A11384,0.12
A10940,1.16
A4065,0.81
179328,0.002
A2131,3.74
E4035,0.065
A2115,1.97
A3015,0.379656814
A4245,0.186880056
12000,0.137
A4337,0.083914588
A1497,33.3
E5450,13.8
A7894,1
167533,0.0005
A6137,0.341101462
15929,0.002
A10551,0.4896
10350,0.025
A6056,0.0375
E1441,3.269947395
A9841,0.081
A10640,0.12
170866,0.089
A4052,0.025
14790,0.012
13534,0.177
E3677,0.476271989
E5513,14.3
A1077,1.259626011
A7120,10.8
E2575,0.349719717
14749,0.223
A3657,0.819641413
A8313,1.08
E2748,1.23
A4402,0.2448
19245,0.017
E6031,0.02
E3245,0.344730201
16787,0.005
20513,0.007
A4008,0.154
A3093,0.615
S2918,0.051
329800,0.016
E5360,52
E5651,123
11592,0.013
E2452,0.101
E2810,0.144
168987,0.016
A3229,0.0342
21761,0.008
A8207,9.75
A3463,4.7283
12688,0.145
12669,0.023
A3599,14.2
A4243,0.605999406
E5826,0.525
E5465,3.47
A10135,0.357
15996,0.004
E2342,0.239
A3253,0.989738551
A4575,0.11475887
18518,0.086
10944,0.24
E3269,0.398254101
A7947,0.0486
E5662,2.62
E5661,2.6
E5549,10.7
10201,0.082
A2306,6.92
13904,0.129
A4875,0.2181
19920,0.108
E5300,3.37
A6064,0.3541
A6412,0.046720014
E3548,0.069853225
312119,0.001
A7295,0.956626308
A10637,0.022
A11426,0.264
12443,0.024
316093,0.1642004
A4190,4.26
A2423,6.12
E3188,0.39
319893,1
168958,0.621
A6170,0.672677485
A7205,0.984295443
A7219,0.368
A6551,0.39
E3065,0.633
E6252,0.0788
A6259,0.867268611
A1979,0.563
12471,0.048
E3748,0.4927
168584,1.327
A10264,0.57
192861,0.003
15225,0.007
A5214,6.42
E2724,0.086
E2429,0.454953147
A3340,0.037
E3647,0.298010187
E6342,0.045
A4330,1.321314574
A6921,2.999606343
12414,0.634
A8268,3.51
170349,0.1
A8931,0.235
A5919,0.504848308
A4360,1.19
A3634,0.956
E3917,0.871
322160,1
13864,0.079
11861,0.016
A8364,14
A8533,0.267
A1534,2.44
12880,0.206
15323,0.441
193264,0.01
15639,0.041
A8881,0.863
17070,0.063
19206,0.046
20494,0.0574
13644,0.004
A8247,5.98
A3016,0.147871113
A3353,0.9889505
A6142,1.681920508
A6308,0.825991706
E5519,0.219
E4958,827
A1250,18.2
A6236,0.932
A5303,0.354709233
A8275,0.292
A5439,0.528435111
16024,0.261
A1947,0.220899484
20309,0.0365
A10361,4.3111
A2174,2.109658113
16469,0.181
13224,0.013
10193,0.054
20613,0.004
A2986,0.0784
A3753,1.7
A11375,0.3625
20055,0.118
A11373,0.8185
A7257,1.259626011
16539,0.096
E3912,0.185519279
E1009,0.637
13986,0.064
A10623,2.7386
A4414,0.161025291
A10132,0.3123
E1894,2.66
A10466,0.3556
E2805,0.027
S2519,3.6174
S2914,0.728
S2912,0.438
S2911,0.269
S2913,0.35
E6045,0.155
E5381,0.348
E1020,2.928845933
E6333,0.429
E6082,0.729
E5728,0.129
E5951,0.368
E6378,0.817
20480,0.111
E6101,0.018
A10332,0.462
A10347,0.462
E5687,0.855
E2901,2.374556057
A1479,9.45
E6338,0.007
A2635,44.2
A10894,1.71
13930,0.05647
18517,0.2035723
195002,0.077161
167730,0.619499
167873,0.121
312891,0.24
312841,0.3
169380,0.13
167807,0.33
170263,0.114
312896,0.14
180004,0.050706
171402,0.068
183113,0.1565266
323796,0.1
